country,exportTo,exportValue,latOrig,lngOrig,latExp,lngExp
French Polynesia,Kiribati,545690480.680271,-15.44855490561312,-145.31140575347553,0.7167729378055498,-56.42940294461336
French Polynesia,Antarctica,239541324.425144,-15.44855490561312,-145.31140575347553,-80.35520839329017,20.761125615068444
French Polynesia,Argentina,204612240.050471,-15.44855490561312,-145.31140575347553,-35.3944310275484,-65.17033848878746
French Polynesia,American Samoa,547393736.348707,-15.44855490561312,-145.31140575347553,-14.215282077528448,-170.3694011393425
French Polynesia,Australia,309593231.74145,-15.44855490561312,-145.31140575347553,-25.729046287549824,134.490475958703
French Polynesia,Cook Islands,2480852458.43525,-15.44855490561312,-145.31140575347553,-19.7028354162332,-158.91292871122428
French Polynesia,Chile,1395031467.82502,-15.44855490561312,-145.31140575347553,-37.94251114411794,-71.38016754424176
French Polynesia,Fiji,2598054357.79909,-15.44855490561312,-145.31140575347553,-17.44780769286306,162.06181950500343
French Polynesia,Indonesia,789977517.746944,-15.44855490561312,-145.31140575347553,-2.22628273419253,117.27447588463218
French Polynesia,New Caledonia,197472251.637793,-15.44855490561312,-145.31140575347553,-21.30698216139229,165.70462177044746
French Polynesia,Niue,176877409.552441,-15.44855490561312,-145.31140575347553,-19.05188052642471,-169.85841227078515
French Polynesia,Papua New Guinea,3919065777.11207,-15.44855490561312,-145.31140575347553,-6.476693849351504,145.25200420408194
French Polynesia,Pitcairn Islands,199725052.679253,-15.44855490561312,-145.31140575347553,-24.43306769672625,-128.4610366529532
French Polynesia,Solomon Islands,2532723633.97803,-15.44855490561312,-145.31140575347553,-8.865071913713205,159.55550057364704
French Polynesia,Tuvalu,441166095.70003,-15.44855490561312,-145.31140575347553,-7.275382946913396,177.6026559424188
French Polynesia,Tokelau,281046124.399317,-15.44855490561312,-145.31140575347553,-9.059552028250923,-171.8020345934153
French Polynesia,Tonga,824894019.785878,-15.44855490561312,-145.31140575347553,-19.89296277395834,-174.83431783537665
French Polynesia,Vanuatu,729608996.527797,-15.44855490561312,-145.31140575347553,-16.21440545373433,167.72162801070746
French Polynesia,Wallis and Futuna,184619872.356277,-15.44855490561312,-145.31140575347553,-13.737912168472269,-177.05275188756613
French Polynesia,Samoa,1097990851.44405,-15.44855490561312,-145.31140575347553,-13.744578390437905,-172.17214194988097
French Polynesia,Southern Ocean,1583877501.89484,-15.44855490561312,-145.31140575347553,-68.03985284483916,-26.63274804271719
French Polynesia,South Atlantic Ocean,1154689101.33249,-15.44855490561312,-145.31140575347553,-33.73758393241584,-18.834109113606257
French Polynesia,South Pacific Ocean,683447692440.291,-15.44855490561312,-145.31140575347553,-38.21706944924589,-140.64466333189102
French Polynesia,North Pacific Ocean,7913456310.99134,-15.44855490561312,-145.31140575347553,20.39638043169753,-138.3933510973343
French Polynesia,South China and Easter Archipelagic Seas,266243598.828144,-15.44855490561312,-145.31140575347553,7.702317678750453,111.84998559843712
French Polynesia,Indian Ocean,341832425.320204,-15.44855490561312,-145.31140575347553,-27.27272098756299,79.60241033422611
Kiribati,French Polynesia,230843013.63261,0.7167729378055498,-56.42940294461336,-15.44855490561312,-145.31140575347553
Kiribati,Australia,271724310.476856,0.7167729378055498,-56.42940294461336,-25.729046287549824,134.490475958703
Kiribati,Cook Islands,176978293.583905,0.7167729378055498,-56.42940294461336,-19.7028354162332,-158.91292871122428
Kiribati,Micronesia,844664047.197768,0.7167729378055498,-56.42940294461336,7.127346872560542,154.83872759379074
Kiribati,Fiji,711910402.152665,0.7167729378055498,-56.42940294461336,-17.44780769286306,162.06181950500343
Kiribati,Indonesia,3446811032.99706,0.7167729378055498,-56.42940294461336,-2.22628273419253,117.27447588463218
Kiribati,Malaysia,148776253.984761,0.7167729378055498,-56.42940294461336,3.790946944560977,109.71021366306172
Kiribati,Marshall Islands,505671430.055435,0.7167729378055498,-56.42940294461336,8.067949480711107,169.15996377513514
Kiribati,Papua New Guinea,7457286800.46723,0.7167729378055498,-56.42940294461336,-6.476693849351504,145.25200420408194
Kiribati,Philippines,287101217.718919,0.7167729378055498,-56.42940294461336,11.739479739914591,122.86836052267785
Kiribati,Solomon Islands,2342571897.69171,0.7167729378055498,-56.42940294461336,-8.865071913713205,159.55550057364704
Kiribati,Tuvalu,452749663.625479,0.7167729378055498,-56.42940294461336,-7.275382946913396,177.6026559424188
Kiribati,Tokelau,114294143.322046,0.7167729378055498,-56.42940294461336,-9.059552028250923,-171.8020345934153
Kiribati,Tonga,115010068.047688,0.7167729378055498,-56.42940294461336,-19.89296277395834,-174.83431783537665
Kiribati,United States Minor Outlying Islands,122630066.094365,0.7167729378055498,-56.42940294461336,7.046657663160694,-155.88786616540696
Kiribati,Vanuatu,280411432.9615,0.7167729378055498,-56.42940294461336,-16.21440545373433,167.72162801070746
Kiribati,Samoa,121817557.58065,0.7167729378055498,-56.42940294461336,-13.744578390437905,-172.17214194988097
Kiribati,South Pacific Ocean,121763913731.303,0.7167729378055498,-56.42940294461336,-38.21706944924589,-140.64466333189102
Kiribati,North Pacific Ocean,72223966512.9117,0.7167729378055498,-56.42940294461336,20.39638043169753,-138.3933510973343
Kiribati,South China and Easter Archipelagic Seas,1119969394.5721,0.7167729378055498,-56.42940294461336,7.702317678750453,111.84998559843712
Kiribati,Indian Ocean,271438414.780827,0.7167729378055498,-56.42940294461336,-27.27272098756299,79.60241033422611
United Arab Emirates,Afghanistan,1053627480.6706,23.91018352077717,54.32814913107037,33.83158993403978,66.02671001579297
United Arab Emirates,Bangladesh,323871019.658507,23.91018352077717,54.32814913107037,23.832903965454467,90.27888423957384
